0.00.030.389 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.030.922 W srv  llama_server: -----------------
0.00.030.923 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.030.923 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.030.923 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.030.924 W srv  llama_server: -----------------
0.00.032.167 I srv    load_model: loading model '/home/randomwish/models/Qwen3.5-4B-Q4_K_M.gguf'
0.01.664.536 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.01.670.162 I srv  llama_server: model loaded
0.01.670.169 I srv  llama_server: listening on http://127.0.0.1:18085
0.02.014.101 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.02.014.169 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.03.306.417 I slot print_timing: id  0 | task 0 | prompt eval time =     630.12 ms /    14 tokens (   45.01 ms per token,    22.22 tokens per second)
0.03.306.425 I slot print_timing: id  0 | task 0 |        eval time =     662.08 ms /     8 tokens (   82.76 ms per token,    12.08 tokens per second)
0.03.306.427 I slot print_timing: id  0 | task 0 |       total time =    1292.20 ms /    22 tokens
0.03.306.434 I slot print_timing: id  0 | task 0 |    graphs reused =          7
0.03.306.493 I slot      release: id  0 | task 0 | stop processing: n_tokens = 21, truncated = 0
1.39.628.282 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 73167564306
1.39.896.477 I slot launch_slot_: id  0 | task 10 | processing task, is_child = 0
1.47.586.673 I slot print_timing: id  0 | task 10 | prompt processing, n_tokens =   1543, progress = 0.75, t =   7.69 s / 200.65 tokens per second
1.50.250.750 I slot print_timing: id  0 | task 10 | prompt processing, n_tokens =   2055, progress = 1.00, t =  10.35 s / 198.47 tokens per second
2.01.373.532 I slot print_timing: id  0 | task 10 | n_decoded =    100, tg =   9.70 t/s, tg_3s =   9.70 t/s
2.04.398.804 I slot print_timing: id  0 | task 10 | prompt eval time =   11164.59 ms /  2059 tokens (    5.42 ms per token,   184.42 tokens per second)
2.04.398.812 I slot print_timing: id  0 | task 10 |        eval time =   13337.66 ms /   128 tokens (  104.20 ms per token,     9.60 tokens per second)
2.04.398.814 I slot print_timing: id  0 | task 10 |       total time =   24502.25 ms /  2187 tokens
2.04.398.817 I slot print_timing: id  0 | task 10 |    graphs reused =        133
2.04.399.149 I slot      release: id  0 | task 10 | stop processing: n_tokens = 2186, truncated = 0
3.09.564.006 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 73288656964
3.09.882.192 I slot launch_slot_: id  0 | task 141 | processing task, is_child = 0
3.17.389.568 I slot print_timing: id  0 | task 141 | prompt processing, n_tokens =   1542, progress = 0.75, t =   7.51 s / 205.40 tokens per second
3.19.973.791 I slot print_timing: id  0 | task 141 | prompt processing, n_tokens =   2054, progress = 1.00, t =  10.09 s / 203.54 tokens per second
3.30.860.089 I slot print_timing: id  0 | task 141 | n_decoded =    100, tg =   9.90 t/s, tg_3s =   9.90 t/s
3.33.782.703 I slot print_timing: id  0 | task 141 | prompt eval time =   10872.41 ms /  2058 tokens (    5.28 ms per token,   189.29 tokens per second)
3.33.782.709 I slot print_timing: id  0 | task 141 |        eval time =   13028.04 ms /   128 tokens (  101.78 ms per token,     9.82 tokens per second)
3.33.782.711 I slot print_timing: id  0 | task 141 |       total time =   23900.45 ms /  2186 tokens
3.33.782.712 I slot print_timing: id  0 | task 141 |    graphs reused =        259
